batch,loss,size
265,14.103333,32
266,15.110714,32
267,14.607023,32
268,14.103333,32
269,14.103333,32
270,13.599644,32
271,14.103333,32
272,15.614405,32
273,13.095953,32
274,14.607023,32
275,15.614405,32
276,15.614405,32
277,14.103333,32
278,12.088572,32
279,15.614405,32
280,15.614405,32
281,15.110714,32
282,14.607024,32
283,14.607023,32
284,14.607023,32
285,15.109423,32
286,15.110714,32
287,15.110714,32
288,14.103333,32
289,15.110714,32
290,12.088572,32
291,14.607024,32
292,14.103333,32
293,15.614405,32
294,14.103333,32
295,13.095953,32
296,15.614405,32
297,13.599643,32
298,14.607024,32
299,14.103333,32
300,14.607023,32
301,13.599644,32
302,13.599644,32
303,13.599644,32
304,14.103333,32
305,14.607023,32
306,14.103333,32
307,14.607023,32
308,14.607023,32
309,13.599644,32
310,14.607024,32
311,14.607023,32
312,15.110714,32
